ID,MatchNumber,Team1,Team2,WinningTeam,Player_of_Match
1304072,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,KL Rahul
1304073,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,KD Karthik
1304074,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Umran Malik
1304075,,Chennai Super Kings,Gujarat Titans,Gujarat Titans,DA Miller
1304076,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,YS Chahal
1304077,,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,F du Plessis
1304078,,Punjab Kings,Delhi Capitals,Delhi Capitals,Kuldeep Yadav
1304079,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mukesh Choudhary
1304080,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,JC Buttler
1304081,,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,Rashid Khan
1304082,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,M Jansen
1304083,,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,KL Rahul
1304084,,Punjab Kings,Chennai Super Kings,Punjab Kings,S Dhawan
1304085,,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,R Parag
1304086,,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Umran Malik
1304087,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kuldeep Yadav
1304088,,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,KH Pandya
1304089,,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,R Tewatia
1304090,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,SA Yadav
1304091,,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Mohsin Khan
1304092,,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,RD Gaikwad
1304093,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,RK Singh
1304094,,Gujarat Titans,Punjab Kings,Punjab Kings,K Rabada
1304095,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,HV Patel
1304096,,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,DA Warner
1304097,,Mumbai Indians,Gujarat Titans,Mumbai Indians,TH David
1304098,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,YBK Jaiswal
1304099,,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Avesh Khan
1304100,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,PWH de Silva
1304101,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,DP Conway
1304102,,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,JJ Bumrah
1304103,,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Shubman Gill
1304104,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,MR Marsh
1304105,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,DR Sams
1304106,,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,JM Bairstow
1304107,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,AD Russell
1304108,,Chennai Super Kings,Gujarat Titans,Gujarat Titans,WP Saha
1304109,,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,TA Boult
1304110,,Delhi Capitals,Punjab Kings,Delhi Capitals,SN Thakur
1304111,,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,RA Tripathi
1304112,,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,Q de Kock
1304113,,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
1304114,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,R Ashwin
1304115,,Delhi Capitals,Mumbai Indians,Mumbai Indians,JJ Bumrah
1304116,,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Harpreet Brar
1312197,,Rajasthan Royals,Gujarat Titans,Gujarat Titans,DA Miller
1312198,,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,RM Patidar
1312199,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,JC Buttler
1312200,,Rajasthan Royals,Gujarat Titans,Gujarat Titans,HH Pandya
1359475,,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Rashid Khan
1359476,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Arshdeep Singh
1359477,,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,MA Wood
1359478,,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,JC Buttler
1359479,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,F du Plessis
1359480,,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,MM Ali
1359481,,Delhi Capitals,Gujarat Titans,Gujarat Titans,B Sai Sudharsan
1359482,,Punjab Kings,Rajasthan Royals,Punjab Kings,NT Ellis
1359483,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,SN Thakur
1359484,,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,KH Pandya
1359485,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,YBK Jaiswal
1359486,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,RA Jadeja
1359487,,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,RK Singh
1359488,,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,S Dhawan
1359489,,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,N Pooran
1359490,,Delhi Capitals,Mumbai Indians,Mumbai Indians,RG Sharma
1359491,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,R Ashwin
1359492,,Punjab Kings,Gujarat Titans,Gujarat Titans,MM Sharma
1359493,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,HC Brook
1359494,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,V Kohli
1359495,,Lucknow Super Giants,Punjab Kings,Punjab Kings,Sikandar Raza
1359496,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,VR Iyer
1359497,,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,SO Hetmyer
1359498,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,DP Conway
1359499,,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,C Green
1359500,,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,MP Stoinis
1359501,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Mohammed Siraj
1359502,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,I Sharma
1359503,,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,RA Jadeja
1359504,,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,MM Sharma
1359505,,Punjab Kings,Mumbai Indians,Punjab Kings,SM Curran
1359506,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,GJ Maxwell
1359507,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,AM Rahane
1359508,,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,AR Patel
1359509,,Gujarat Titans,Mumbai Indians,Gujarat Titans,A Manohar
1359510,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,CV Varun
1359511,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,YBK Jaiswal
1359512,,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,MP Stoinis
1359513,,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,J Little
1359514,,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,MR Marsh
1359515,,Chennai Super Kings,Punjab Kings,Punjab Kings,DP Conway
1359516,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,YBK Jaiswal
1359517,,Royal Challengers Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,F du Plessis
1359518,,Delhi Capitals,Gujarat Titans,Delhi Capitals,Mohammed Shami
1359519,,Lucknow Super Giants,,Lucknow Super Giants,Unknown
1359520,,Punjab Kings,Mumbai Indians,Mumbai Indians,Ishan Kishan
1359521,,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,CV Varun
1359522,,Rajasthan Royals,Gujarat Titans,Gujarat Titans,Rashid Khan
1359523,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,M Pathirana
1359524,,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,PD Salt
1359525,,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,Shubman Gill
1359526,,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,GD Phillips
1359527,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell
1359528,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,SA Yadav
1359529,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,RA Jadeja
1359530,,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,YBK Jaiswal
1359531,,Mumbai Indians,Gujarat Titans,Mumbai Indians,SA Yadav
1359532,,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,PN Mankad
1359533,,Punjab Kings,Delhi Capitals,Punjab Kings,P Simran Singh
1359534,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,WD Parnell
1359535,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,RK Singh
1359536,,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,Shubman Gill
