ID,MatchNumber,Team1,Team2,WinningTeam,Player_of_Match
335982,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,BB McCullum
335983,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,MEK Hussey
335984,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,MF Maharoof
335985,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,MV Boucher
335986,,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,DJ Hussey
335987,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,SR Watson
335988,,Deccan Chargers,Delhi Capitals,Delhi Capitals,V Sehwag
335989,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,ML Hayden
335990,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan
335991,,Punjab Kings,Mumbai Indians,Punjab Kings,KC Sangakkara
335992,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,SR Watson
335993,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,JDP Oram
335994,,Mumbai Indians,Deccan Chargers,Deccan Chargers,AC Gilchrist
335995,,Delhi Capitals,Punjab Kings,Punjab Kings,SM Katich
335996,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,MS Dhoni
335997,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,ST Jayasuriya
335998,,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,GD McGrath
335999,,Deccan Chargers,Punjab Kings,Punjab Kings,SE Marsh
336000,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SA Asnodkar
336001,,Chennai Super Kings,Delhi Capitals,Delhi Capitals,V Sehwag
336002,,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,R Vinay Kumar
336003,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,IK Pathan
336004,,Mumbai Indians,Delhi Capitals,Mumbai Indians,SM Pollock
336005,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sohail Tanvir
336006,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,S Sreesanth
336007,,Chennai Super Kings,Deccan Chargers,Deccan Chargers,AC Gilchrist
336008,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,A Nehra
336009,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,MS Dhoni
336010,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,SC Ganguly
336011,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan
336012,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,CRD Fernando
336013,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,L Balaji
336014,,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,SC Ganguly
336015,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,SR Watson
336016,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,SE Marsh
336017,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Shoaib Akhtar
336018,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,ST Jayasuriya
336019,,Punjab Kings,Rajasthan Royals,Punjab Kings,SE Marsh
336020,,Delhi Capitals,Deccan Chargers,Delhi Capitals,A Mishra
336021,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,SM Pollock
336022,,Delhi Capitals,Punjab Kings,Delhi Capitals,DPMD Jayawardene
336023,,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,GC Smith
336024,,Mumbai Indians,Deccan Chargers,Mumbai Indians,DJ Bravo
336025,,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,M Ntini
336026,,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,SP Goswami
336027,,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,YK Pathan
336028,,Punjab Kings,Mumbai Indians,Punjab Kings,SE Marsh
336029,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,A Kumble
336031,,Deccan Chargers,Punjab Kings,Punjab Kings,SE Marsh
336032,,Mumbai Indians,Delhi Capitals,Delhi Capitals,KD Karthik
336033,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,JA Morkel
336034,,Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,P Kumar
336035,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Umar Gul
336036,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sohail Tanvir
336037,,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,SK Raina
336038,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,SR Watson
336039,,Punjab Kings,Chennai Super Kings,Chennai Super Kings,M Ntini
336040,,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,YK Pathan
392181,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,SR Tendulkar
392182,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,R Dravid
392183,,Punjab Kings,Delhi Capitals,Punjab Kings,DL Vettori
392184,,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,RP Singh
392185,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,M Muralitharan
392186,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,CH Gayle
392188,,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,AC Gilchrist
392189,,Delhi Capitals,Chennai Super Kings,Delhi Capitals,AB de Villiers
392190,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,YK Pathan
392191,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,RS Bopara
392192,,Deccan Chargers,Mumbai Indians,Deccan Chargers,PP Ojha
392194,,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,TM Dilshan
392195,,Punjab Kings,Rajasthan Royals,Punjab Kings,KC Sangakkara
392196,,Chennai Super Kings,Deccan Chargers,Deccan Chargers,HH Gibbs
392197,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,SR Tendulkar
392198,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,YK Pathan
392199,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,MV Boucher
392200,,Punjab Kings,Mumbai Indians,Punjab Kings,KC Sangakkara
392201,,Deccan Chargers,Delhi Capitals,Delhi Capitals,DP Nannes
392202,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,SK Raina
392203,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,JP Duminy
392204,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Yuvraj Singh
392205,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan
392206,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,SB Jakati
392207,,Kolkata Knight Riders,Punjab Kings,Punjab Kings,DPMD Jayawardene
392208,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JH Kallis
392209,,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,MS Dhoni
392210,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,GC Smith
392211,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,G Gambhir
392212,,Deccan Chargers,Mumbai Indians,Deccan Chargers,RG Sharma
392213,,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,A Singh
392214,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,ML Hayden
392215,,Mumbai Indians,Delhi Capitals,Delhi Capitals,A Nehra
392216,,Deccan Chargers,Punjab Kings,Punjab Kings,DPMD Jayawardene
392217,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,S Badrinath
392218,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,JP Duminy
392219,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,A Mishra
392220,,Deccan Chargers,Rajasthan Royals,Deccan Chargers,DR Smith
392221,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,LRPL Taylor
392222,,Punjab Kings,Mumbai Indians,Mumbai Indians,Harbhajan Singh
392223,,Delhi Capitals,Deccan Chargers,Delhi Capitals,R Bhatia
392224,,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,LRPL Taylor
392225,,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,SK Warne
392226,,Delhi Capitals,Punjab Kings,Punjab Kings,B Lee
392227,,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,ML Hayden
392228,,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,RG Sharma
392229,,Punjab Kings,Deccan Chargers,Punjab Kings,Yuvraj Singh
392230,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,AB de Villiers
392231,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,BJ Hodge
392232,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JH Kallis
392233,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,LR Shukla
392234,,Chennai Super Kings,Punjab Kings,Chennai Super Kings,M Muralitharan
392235,,Mumbai Indians,Delhi Capitals,Delhi Capitals,V Sehwag
392236,,Royal Challengers Bengaluru,Deccan Chargers,Royal Challengers Bengaluru,MK Pandey
392237,,Delhi Capitals,Deccan Chargers,Deccan Chargers,AC Gilchrist
392238,,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,MK Pandey
392239,,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,A Kumble
419106,,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,AD Mathews
419107,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,YK Pathan
419108,,Punjab Kings,Delhi Capitals,Delhi Capitals,G Gambhir
419109,,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,MK Tiwary
419110,,Deccan Chargers,Chennai Super Kings,Deccan Chargers,WPUJC Vaas
419111,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,V Sehwag
419112,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JH Kallis
419113,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,MS Dhoni
419114,,Mumbai Indians,Delhi Capitals,Mumbai Indians,SR Tendulkar
419115,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JH Kallis
419116,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,ML Hayden
419117,,Deccan Chargers,Punjab Kings,Deccan Chargers,A Symonds
419118,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,AA Jhunjhunwala
419119,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,JH Kallis
419120,,Deccan Chargers,Delhi Capitals,Deccan Chargers,A Symonds
419121,,Punjab Kings,Chennai Super Kings,Punjab Kings,J Theron
419122,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,SR Tendulkar
419123,,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,RV Uthappa
419124,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,AC Voges
419125,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,SR Tendulkar
419126,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,YK Pathan
419127,,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,MK Tiwary
419128,,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,KM Jadhav
419129,,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,NV Ojha
419130,,Mumbai Indians,Deccan Chargers,Mumbai Indians,Harbhajan Singh
419131,,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,DA Warner
419132,,Punjab Kings,Mumbai Indians,Mumbai Indians,SL Malinga
419133,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,M Vijay
419134,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,KD Karthik
419135,,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,SC Ganguly
419136,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,KP Pietersen
419137,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,M Vijay
419138,,Mumbai Indians,Deccan Chargers,Mumbai Indians,AT Rayudu
419139,,Kolkata Knight Riders,Punjab Kings,Punjab Kings,DPMD Jayawardene
419140,,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,PD Collingwood
419141,,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,SK Warne
419142,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,SK Raina
419143,,Punjab Kings,Rajasthan Royals,Rajasthan Royals,MJ Lumb
419144,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,SC Ganguly
419145,,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,TL Suman
419146,,Mumbai Indians,Punjab Kings,Punjab Kings,KC Sangakkara
419147,,Chennai Super Kings,Deccan Chargers,Deccan Chargers,RJ Harris
419148,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,R Vinay Kumar
419149,,Delhi Capitals,Punjab Kings,Punjab Kings,PP Chawla
419150,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,SR Tendulkar
419151,,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,Harmeet Singh
419152,,Mumbai Indians,Delhi Capitals,Mumbai Indians,KA Pollard
419153,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,R Ashwin
419154,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,KP Pietersen
419155,,Chennai Super Kings,Delhi Capitals,Delhi Capitals,G Gambhir
419156,,Punjab Kings,Deccan Chargers,Deccan Chargers,RG Sharma
419157,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,R McLaren
419158,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,JD Unadkat
419159,,Punjab Kings,Chennai Super Kings,Chennai Super Kings,MS Dhoni
419160,,Deccan Chargers,Delhi Capitals,Deccan Chargers,A Symonds
419161,,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,M Kartik
419162,,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,KA Pollard
419163,,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,DE Bollinger
419164,,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,A Kumble
419165,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,SK Raina
501198,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,S Anirudha
501199,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,SK Trivedi
501200,,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
501201,,Delhi Capitals,Mumbai Indians,Mumbai Indians,SL Malinga
501202,,Punjab Kings,Pune Warriors,Pune Warriors,SB Wagh
501203,,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,JH Kallis
501204,,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,SK Warne
501205,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,SR Tendulkar
501206,,Chennai Super Kings,Punjab Kings,Punjab Kings,PC Valthaty
501207,,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors,MD Mishra
501208,,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,DW Steyn
501209,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
501210,,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,BB McCullum
501211,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,MEK Hussey
501212,,Deccan Chargers,Punjab Kings,Punjab Kings,PC Valthaty
501213,,Pune Warriors,Delhi Capitals,Delhi Capitals,Yuvraj Singh
501214,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,L Balaji
501215,,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,BB McCullum
501216,,Deccan Chargers,Delhi Capitals,Deccan Chargers,S Sohal
501218,,Pune Warriors,Mumbai Indians,Mumbai Indians,MM Patel
501219,,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,DPMD Jayawardene
501220,,Punjab Kings,Rajasthan Royals,Punjab Kings,SE Marsh
501221,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Harbhajan Singh
501222,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
501223,,Delhi Capitals,Punjab Kings,Delhi Capitals,DA Warner
501224,,Mumbai Indians,Deccan Chargers,Mumbai Indians,SL Malinga
501225,,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,SK Warne
501226,,Chennai Super Kings,Pune Warriors,Chennai Super Kings,MEK Hussey
501227,,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,V Kohli
501228,,Pune Warriors,Chennai Super Kings,Chennai Super Kings,DE Bollinger
501229,,Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers,I Sharma
501230,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,MK Tiwary
501231,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,J Botha
501232,,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,V Kohli
501233,,Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals,V Sehwag
501234,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Iqbal Abdulla
501235,,Pune Warriors,Rajasthan Royals,Rajasthan Royals,LRPL Taylor
501236,,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,JA Morkel
501237,,Mumbai Indians,Punjab Kings,Mumbai Indians,KA Pollard
501238,,Delhi Capitals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,P Parameswaran
501239,,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,YK Pathan
501240,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,MEK Hussey
501241,,Mumbai Indians,Pune Warriors,Mumbai Indians,R Sharma
501242,,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,BJ Hodge
501243,,Deccan Chargers,Delhi Capitals,Delhi Capitals,V Sehwag
501244,,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,CH Gayle
501245,,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Iqbal Abdulla
501246,,Mumbai Indians,Delhi Capitals,Mumbai Indians,AT Rayudu
501247,,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
501248,,Punjab Kings,Pune Warriors,Pune Warriors,R Sharma
501249,,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,M Vijay
501250,,Deccan Chargers,Pune Warriors,Pune Warriors,MR Marsh
501251,,Punjab Kings,Mumbai Indians,Punjab Kings,BA Bhatt
501252,,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,S Aravind
501253,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,MS Dhoni
501254,,Kochi Tuskers Kerala,Punjab Kings,Punjab Kings,KD Karthik
501255,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
501256,,Deccan Chargers,Mumbai Indians,Deccan Chargers,A Mishra
501257,,Punjab Kings,Delhi Capitals,Punjab Kings,PP Chawla
501258,,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,BJ Hodge
501259,,Pune Warriors,Deccan Chargers,Deccan Chargers,A Mishra
501260,,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,AC Gilchrist
501261,,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,WP Saha
501262,,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan
501263,,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,SR Watson
501264,,Deccan Chargers,Punjab Kings,Deccan Chargers,S Dhawan
501265,,Delhi Capitals,,Delhi Capitals,Unknown
501266,,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
501267,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,JEC Franklin
501268,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,SK Raina
501269,,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,MM Patel
501270,,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,CH Gayle
501271,,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,M Vijay
548306,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,RE Levi
548307,,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,IK Pathan
548308,,Pune Warriors,Mumbai Indians,Pune Warriors,SPD Smith
548309,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,AM Rahane
548310,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,AB de Villiers
548311,,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,RA Jadeja
548312,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,BJ Hodge
548313,,Pune Warriors,Punjab Kings,Pune Warriors,MN Samuels
548314,,Deccan Chargers,Mumbai Indians,Mumbai Indians,RG Sharma
548315,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,L Balaji
548316,,Chennai Super Kings,Delhi Capitals,Delhi Capitals,M Morkel
548317,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,KA Pollard
548318,,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,F du Plessis
548319,,Pune Warriors,Punjab Kings,Punjab Kings,AD Mascarenhas
548320,,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Shakib Al Hasan
548321,,Deccan Chargers,Delhi Capitals,Delhi Capitals,KP Pietersen
548322,,Chennai Super Kings,Pune Warriors,Pune Warriors,JD Ryder
548323,,Punjab Kings,Kolkata Knight Riders,Punjab Kings,SP Narine
548324,,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,AM Rahane
548325,,Mumbai Indians,Delhi Capitals,Delhi Capitals,S Nadeem
548326,,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,BJ Hodge
548327,,Pune Warriors,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
548328,,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
548329,,Deccan Chargers,Delhi Capitals,Delhi Capitals,DA Warner
548330,,Chennai Super Kings,Pune Warriors,Chennai Super Kings,KMDN Kulasekara
548331,,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
548332,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,F du Plessis
548333,,Pune Warriors,Delhi Capitals,Pune Warriors,SC Ganguly
548334,,Mumbai Indians,Punjab Kings,Punjab Kings,SE Marsh
548335,,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,B Lee
548336,,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,AB de Villiers
548337,,Pune Warriors,Delhi Capitals,Delhi Capitals,V Sehwag
548339,,Punjab Kings,Mumbai Indians,Mumbai Indians,AT Rayudu
548341,,Deccan Chargers,Pune Warriors,Deccan Chargers,CL White
548342,,Delhi Capitals,Mumbai Indians,Delhi Capitals,V Sehwag
548343,,Punjab Kings,Chennai Super Kings,Punjab Kings,Mandeep Singh
548344,,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,G Gambhir
548345,,Delhi Capitals,Rajasthan Royals,Delhi Capitals,V Sehwag
548346,,Deccan Chargers,Mumbai Indians,Mumbai Indians,DW Steyn
548347,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir
548348,,Deccan Chargers,Pune Warriors,Deccan Chargers,KC Sangakkara
548349,,Rajasthan Royals,Delhi Capitals,Delhi Capitals,P Negi
548350,,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Azhar Mahmood
548351,,Mumbai Indians,Pune Warriors,Mumbai Indians,SL Malinga
548352,,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,SK Raina
548353,,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,SP Narine
548354,,Rajasthan Royals,Punjab Kings,Rajasthan Royals,SR Watson
548355,,Chennai Super Kings,Mumbai Indians,Mumbai Indians,DR Smith
548356,,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,AB de Villiers
548357,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,JH Kallis
548358,,Pune Warriors,Rajasthan Royals,Rajasthan Royals,SR Watson
548359,,Punjab Kings,Deccan Chargers,Punjab Kings,Mandeep Singh
548360,,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
548361,,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,BW Hilfenhaus
548362,,Royal Challengers Bengaluru,Pune Warriors,Royal Challengers Bengaluru,CH Gayle
548363,,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,RG Sharma
548364,,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,BW Hilfenhaus
548365,,Rajasthan Royals,Pune Warriors,Rajasthan Royals,A Chandila
548366,,Deccan Chargers,Punjab Kings,Punjab Kings,DJ Hussey
548367,,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,AT Rayudu
548368,,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MEK Hussey
548369,,Punjab Kings,Delhi Capitals,Delhi Capitals,UT Yadav
548370,,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,SP Narine
548371,,Chennai Super Kings,Punjab Kings,Punjab Kings,AC Gilchrist
548372,,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,CH Gayle
548373,,Rajasthan Royals,Deccan Chargers,Deccan Chargers,DW Steyn
548374,,Punjab Kings,Delhi Capitals,Delhi Capitals,UT Yadav
548375,,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Shakib Al Hasan
548376,,Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers,DW Steyn
548377,,Rajasthan Royals,Mumbai Indians,Mumbai Indians,DR Smith
548378,,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,YK Pathan
548379,,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,MS Dhoni
548380,,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,M Vijay
548381,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,MS Bisla
597998,,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine
597999,,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,CH Gayle
598000,,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,A Mishra
598001,,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,R Dravid
598002,,Mumbai Indians,Chennai Super Kings,Mumbai Indians,KA Pollard
598003,,Pune Warriors,Punjab Kings,Punjab Kings,M Vohra
598004,,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,GH Vihari
598005,,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,SK Trivedi
598006,,Mumbai Indians,Delhi Capitals,Mumbai Indians,KD Karthik
598007,,Punjab Kings,Chennai Super Kings,Chennai Super Kings,MEK Hussey
598008,,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,CH Gayle
598009,,Rajasthan Royals,Pune Warriors,Pune Warriors,AJ Finch
