ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
598028,67,Kings XI Punjab,DA Miller,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
598065,68,Sunrisers Hyderabad,A Mishra,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
598066,69,Kings XI Punjab,Azhar Mahmood,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
598068,70,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
598067,71,Pune Warriors,LJ Wright,Pune Warriors,Pune Warriors,Pune Warriors
598069,72,Kolkata Knight Riders,PA Patel,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
598070,Unknown,Chennai Super Kings,MEK Hussey,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
598071,Unknown,Sunrisers Hyderabad,BJ Hodge,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
598072,Unknown,Rajasthan Royals,Harbhajan Singh,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
598073,Unknown,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
729279,1,Kolkata Knight Riders,JH Kallis,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
729281,2,Delhi Daredevils,YS Chahal,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
729283,3,Chennai Super Kings,GJ Maxwell,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings
729285,4,Sunrisers Hyderabad,AM Rahane,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
729287,5,Mumbai Indians,PA Patel,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
729289,6,Kolkata Knight Riders,JP Duminy,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
729291,7,Rajasthan Royals,GJ Maxwell,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
729293,8,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
729295,9,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
729297,10,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
729299,11,Kolkata Knight Riders,CA Lynn,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
729301,12,Sunrisers Hyderabad,AJ Finch,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
729303,13,Mumbai Indians,MM Sharma,Chennai Super Kings,Mumbai Indians,Mumbai Indians
729305,14,Royal Challengers Bangalore,PV Tambe,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
729307,15,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
729309,16,Mumbai Indians,M Vijay,Delhi Daredevils,Mumbai Indians,Mumbai Indians
729311,17,Sunrisers Hyderabad,DR Smith,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
729313,18,Royal Challengers Bangalore,Sandeep Sharma,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
729315,19,Rajasthan Royals,JP Faulkner,Unknown,Rajasthan Royals,Rajasthan Royals
729317,20,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
733971,21,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
733973,22,Kings XI Punjab,CJ Anderson,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
733975,23,Delhi Daredevils,KK Nair,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
733977,24,Sunrisers Hyderabad,AB de Villiers,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
733979,25,Rajasthan Royals,PV Tambe,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
733981,26,Delhi Daredevils,DR Smith,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
733983,27,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
733985,28,Delhi Daredevils,G Gambhir,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
733987,29,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
733989,30,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
733991,31,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
733993,32,Delhi Daredevils,DW Steyn,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils
733995,33,Mumbai Indians,DR Smith,Chennai Super Kings,Mumbai Indians,Mumbai Indians
733997,34,Kings XI Punjab,G Gambhir,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
733999,35,Royal Challengers Bangalore,JP Faulkner,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore
734001,36,Sunrisers Hyderabad,AT Rayudu,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
734003,37,Rajasthan Royals,RA Jadeja,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
734005,38,Royal Challengers Bangalore,Yuvraj Singh,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
734007,39,Sunrisers Hyderabad,WP Saha,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad
734009,40,Mumbai Indians,RV Uthappa,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
734011,41,Rajasthan Royals,AM Rahane,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
734013,42,Chennai Super Kings,AB de Villiers,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
734015,43,Sunrisers Hyderabad,UT Yadav,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
734017,44,Mumbai Indians,MEK Hussey,Mumbai Indians,Mumbai Indians,Mumbai Indians
734019,45,Delhi Daredevils,AR Patel,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
734021,46,Royal Challengers Bangalore,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
734023,47,Chennai Super Kings,RV Uthappa,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
734025,48,Kings XI Punjab,LMP Simmons,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
734027,49,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
734029,50,Chennai Super Kings,DA Warner,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
734031,51,Mumbai Indians,MEK Hussey,Mumbai Indians,Mumbai Indians,Mumbai Indians
734033,52,Kings XI Punjab,SE Marsh,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
734035,53,Royal Challengers Bangalore,MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
734037,54,Sunrisers Hyderabad,YK Pathan,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
734039,55,Delhi Daredevils,M Vohra,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
734041,56,Rajasthan Royals,CJ Anderson,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
734043,Unknown,Kolkata Knight Riders,UT Yadav,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
734045,Unknown,Mumbai Indians,SK Raina,Chennai Super Kings,Mumbai Indians,Mumbai Indians
734047,Unknown,Kings XI Punjab,V Sehwag,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
734049,Unknown,Kings XI Punjab,MK Pandey,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
829705,1,Mumbai Indians,M Morkel,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
829707,2,Chennai Super Kings,A Nehra,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829709,3,Rajasthan Royals,JP Faulkner,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
829711,4,Chennai Super Kings,BB McCullum,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829713,5,Kolkata Knight Riders,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
829715,6,Delhi Daredevils,DJ Hooda,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
829717,7,Kings XI Punjab,GJ Bailey,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
829719,8,Royal Challengers Bangalore,DA Warner,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore
829721,9,Mumbai Indians,SPD Smith,Rajasthan Royals,Mumbai Indians,Mumbai Indians
829725,10,Kings XI Punjab,MA Agarwal,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
829727,11,Sunrisers Hyderabad,AM Rahane,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad
829729,12,Mumbai Indians,A Nehra,Chennai Super Kings,Mumbai Indians,Mumbai Indians
829731,13,Delhi Daredevils,JP Duminy,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
829733,14,Kings XI Punjab,AD Russell,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
829735,15,Chennai Super Kings,AM Rahane,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings
829737,16,Mumbai Indians,Harbhajan Singh,Mumbai Indians,Mumbai Indians,Mumbai Indians
829739,17,Delhi Daredevils,UT Yadav,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
829741,18,Rajasthan Royals,SE Marsh,Unknown,Rajasthan Royals,Rajasthan Royals
829743,19,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829745,20,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829747,21,Delhi Daredevils,SS Iyer,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
829749,22,Rajasthan Royals,MA Starc,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
829751,23,Mumbai Indians,SL Malinga,Mumbai Indians,Mumbai Indians,Mumbai Indians
829753,24,Chennai Super Kings,BB McCullum,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829757,26,Delhi Daredevils,VR Aaron,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
829759,27,Sunrisers Hyderabad,TA Boult,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829765,28,Chennai Super Kings,DJ Bravo,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829763,29,Royal Challengers Bangalore,Unknown,Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore
829723,30,Chennai Super Kings,AD Russell,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
829767,31,Kings XI Punjab,NM Coulter-Nile,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
829769,32,Mumbai Indians,AT Rayudu,Mumbai Indians,Mumbai Indians,Mumbai Indians
829771,33,Kolkata Knight Riders,Mandeep Singh,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
829773,34,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829775,35,Mumbai Indians,LMP Simmons,Mumbai Indians,Mumbai Indians,Mumbai Indians
829777,36,Rajasthan Royals,AM Rahane,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
829779,37,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829781,38,Kolkata Knight Riders,UT Yadav,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
829783,39,Delhi Daredevils,Harbhajan Singh,Mumbai Indians,Delhi Daredevils,Delhi Daredevils
829785,40,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
829761,42,Kolkata Knight Riders,PP Chawla,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
829787,41,Sunrisers Hyderabad,EJG Morgan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829789,43,Chennai Super Kings,HH Pandya,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
829791,44,Kings XI Punjab,AD Russell,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
829793,45,Sunrisers Hyderabad,MC Henriques,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829795,46,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
829797,47,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
829799,48,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
829801,49,Chennai Super Kings,Z Khan,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
829803,50,Kings XI Punjab,AR Patel,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
829805,51,Mumbai Indians,HH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
829807,52,Sunrisers Hyderabad,V Kohli,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad
829809,53,Kings XI Punjab,P Negi,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab
829811,54,Rajasthan Royals,SR Watson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
829813,55,Delhi Daredevils,Unknown,Unknown,Delhi Daredevils,Delhi Daredevils
829815,56,Sunrisers Hyderabad,MJ McClenaghan,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
829817,Unknown,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
829819,Unknown,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
829821,Unknown,Royal Challengers Bangalore,A Nehra,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
829823,Unknown,Mumbai Indians,RG Sharma,Mumbai Indians,Mumbai Indians,Mumbai Indians
980901,1,Mumbai Indians,AM Rahane,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians
980903,2,Delhi Daredevils,AD Russell,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
980905,3,Kings XI Punjab,AJ Finch,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
980907,4,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
980909,5,Kolkata Knight Riders,RG Sharma,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
980911,6,Rising Pune Supergiants,AJ Finch,Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants
980913,7,Kings XI Punjab,A Mishra,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
980915,8,Sunrisers Hyderabad,G Gambhir,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
980917,9,Mumbai Indians,AJ Finch,Gujarat Lions,Mumbai Indians,Mumbai Indians
980919,10,Rising Pune Supergiants,M Vohra,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants
980921,11,Royal Challengers Bangalore,Q de Kock,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
980923,12,Mumbai Indians,DA Warner,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
980925,13,Kings XI Punjab,RV Uthappa,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
980927,14,Royal Challengers Bangalore,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
980929,15,Gujarat Lions,B Kumar,Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions
980931,16,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
980933,17,Delhi Daredevils,SV Samson,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
980935,18,Kings XI Punjab,Mustafizur Rahman,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
980937,19,Royal Challengers Bangalore,V Kohli,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
980939,20,Rising Pune Supergiants,SA Yadav,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants
980941,21,Mumbai Indians,PA Patel,Mumbai Indians,Mumbai Indians,Mumbai Indians
980943,22,Sunrisers Hyderabad,AB Dinda,Rising Pune Supergiants,Sunrisers Hyderabad,Sunrisers Hyderabad
980945,23,Gujarat Lions,CH Morris,Gujarat Lions,Gujarat Lions,Gujarat Lions
980947,24,Kolkata Knight Riders,RG Sharma,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
980949,25,Rising Pune Supergiants,DR Smith,Gujarat Lions,Rising Pune Supergiants,Rising Pune Supergiants
980951,26,Delhi Daredevils,CR Brathwaite,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
980953,27,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
980955,28,Kings XI Punjab,AR Patel,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
980957,29,Rising Pune Supergiants,RG Sharma,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants
980959,30,Royal Challengers Bangalore,AD Russell,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
980961,31,Gujarat Lions,RR Pant,Delhi Daredevils,Gujarat Lions,Gujarat Lions
980963,32,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
980965,33,Delhi Daredevils,AM Rahane,Rising Pune Supergiants,Delhi Daredevils,Delhi Daredevils
980967,34,Gujarat Lions,B Kumar,Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions
980969,35,Rising Pune Supergiants,V Kohli,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants
980971,36,Kings XI Punjab,MP Stoinis,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
980973,37,Sunrisers Hyderabad,A Nehra,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
980975,38,Kolkata Knight Riders,P Kumar,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
980977,39,Royal Challengers Bangalore,SR Watson,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
980979,40,Sunrisers Hyderabad,A Zampa,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
980981,41,Royal Challengers Bangalore,KH Pandya,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
980983,42,Sunrisers Hyderabad,CH Morris,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
980985,43,Mumbai Indians,MP Stoinis,Kings XI Punjab,Mumbai Indians,Mumbai Indians
980987,44,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
980989,45,Rising Pune Supergiants,YK Pathan,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants
980991,46,Kings XI Punjab,HM Amla,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab
980993,47,Mumbai Indians,KH Pandya,Mumbai Indians,Mumbai Indians,Mumbai Indians
980995,48,Kolkata Knight Riders,V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
980997,49,Delhi Daredevils,AB Dinda,Rising Pune Supergiants,Delhi Daredevils,Delhi Daredevils
980999,50,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
981001,51,Kolkata Knight Riders,DR Smith,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
981003,52,Sunrisers Hyderabad,KK Nair,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
981005,53,Kings XI Punjab,MS Dhoni,Rising Pune Supergiants,Kings XI Punjab,Kings XI Punjab
981007,54,Mumbai Indians,SK Raina,Gujarat Lions,Mumbai Indians,Mumbai Indians
981009,55,Kolkata Knight Riders,YK Pathan,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
981011,56,Delhi Daredevils,V Kohli,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils
981013,Unknown,Gujarat Lions,AB de Villiers,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions
981015,Unknown,Sunrisers Hyderabad,MC Henriques,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
981017,Unknown,Gujarat Lions,DA Warner,Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions
981019,Unknown,Sunrisers Hyderabad,BCJ Cutting,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082591,1,Sunrisers Hyderabad,Yuvraj Singh,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082592,2,Mumbai Indians,SPD Smith,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians
1082593,3,Gujarat Lions,CA Lynn,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions
1082594,4,Rising Pune Supergiant,GJ Maxwell,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant
1082595,5,Royal Challengers Bangalore,KM Jadhav,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1082596,6,Gujarat Lions,Rashid Khan,Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions
1082597,7,Kolkata Knight Riders,N Rana,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
1082598,8,Royal Challengers Bangalore,AR Patel,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
1082599,9,Delhi Daredevils,SV Samson,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1082600,10,Sunrisers Hyderabad,JJ Bumrah,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad
1082601,11,Kings XI Punjab,SP Narine,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
1082602,12,Royal Challengers Bangalore,KA Pollard,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
1082603,13,Rising Pune Supergiant,AJ Tye,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant
1082604,14,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1082605,15,Delhi Daredevils,CJ Anderson,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1082606,16,Gujarat Lions,N Rana,Mumbai Indians,Gujarat Lions,Gujarat Lions
1082607,17,Rising Pune Supergiant,BA Stokes,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant
1082608,18,Delhi Daredevils,NM Coulter-Nile,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
1082609,19,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082610,20,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1082611,21,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082612,22,Kings XI Punjab,JC Buttler,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
1082613,23,Kolkata Knight Riders,SK Raina,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders
1082614,25,Mumbai Indians,MJ McClenaghan,Mumbai Indians,Mumbai Indians,Mumbai Indians
1082615,24,Sunrisers Hyderabad,MS Dhoni,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad
1082616,26,Kings XI Punjab,HM Amla,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1082617,27,Kolkata Knight Riders,NM Coulter-Nile,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
1082618,28,Rising Pune Supergiant,BA Stokes,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant
1082620,30,Rising Pune Supergiant,RV Uthappa,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant
1082621,31,Royal Challengers Bangalore,AJ Tye,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore
1082622,32,Delhi Daredevils,G Gambhir,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils
1082623,33,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082624,34,Rising Pune Supergiant,LH Ferguson,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant
1082625,35,Gujarat Lions,KH Pandya,Unknown,Gujarat Lions,Gujarat Lions
1082626,36,Delhi Daredevils,Sandeep Sharma,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
1082627,37,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad
1082628,38,Royal Challengers Bangalore,RG Sharma,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
1082629,39,Gujarat Lions,BA Stokes,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions
1082630,40,Sunrisers Hyderabad,Mohammed Shami,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
1082631,41,Kolkata Knight Riders,RA Tripathi,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders
1082632,42,Gujarat Lions,RR Pant,Delhi Daredevils,Gujarat Lions,Gujarat Lions
1082633,43,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1082634,44,Rising Pune Supergiant,JD Unadkat,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant
1082635,45,Mumbai Indians,LMP Simmons,Mumbai Indians,Mumbai Indians,Mumbai Indians
1082636,46,Royal Challengers Bangalore,SP Narine,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore
1082637,47,Kings XI Punjab,DR Smith,Gujarat Lions,Kings XI Punjab,Kings XI Punjab
1082638,48,Mumbai Indians,S Dhawan,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1082639,49,Kings XI Punjab,MM Sharma,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1082640,50,Gujarat Lions,SS Iyer,Delhi Daredevils,Gujarat Lions,Gujarat Lions
1082641,51,Kings XI Punjab,WP Saha,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
1082642,52,Delhi Daredevils,KK Nair,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
1082643,53,Gujarat Lions,Mohammed Siraj,Sunrisers Hyderabad,Gujarat Lions,Gujarat Lions
1082644,54,Mumbai Indians,AT Rayudu,Mumbai Indians,Mumbai Indians,Mumbai Indians
1082645,55,Kings XI Punjab,JD Unadkat,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab
1082646,56,Royal Challengers Bangalore,HV Patel,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
1082647,Unknown,Rising Pune Supergiant,Washington Sundar,Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant
1082648,Unknown,Sunrisers Hyderabad,NM Coulter-Nile,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad
1082649,Unknown,Kolkata Knight Riders,KV Sharma,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
