ID,MatchNumber,BattingTeam,player_of_match,WinningTeam,Team1,Team2
501250,53,Deccan Chargers,MR Marsh,Pune Warriors,Deccan Chargers,Deccan Chargers
501251,54,Kings XI Punjab,BA Bhatt,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
501252,55,Rajasthan Royals,S Aravind,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
501253,56,Chennai Super Kings,MS Dhoni,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
501254,57,Kochi Tuskers Kerala,KD Karthik,Kings XI Punjab,Kochi Tuskers Kerala,Kochi Tuskers Kerala
501255,58,Kolkata Knight Riders,CH Gayle,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders
501256,59,Deccan Chargers,A Mishra,Deccan Chargers,Deccan Chargers,Deccan Chargers
501257,60,Kings XI Punjab,PP Chawla,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
501258,61,Rajasthan Royals,BJ Hodge,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals
501259,62,Pune Warriors,A Mishra,Deccan Chargers,Pune Warriors,Pune Warriors
501260,63,Kings XI Punjab,AC Gilchrist,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
501261,64,Chennai Super Kings,WP Saha,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
501262,65,Pune Warriors,YK Pathan,Kolkata Knight Riders,Pune Warriors,Pune Warriors
501263,66,Mumbai Indians,SR Watson,Rajasthan Royals,Mumbai Indians,Mumbai Indians
501264,67,Deccan Chargers,S Dhawan,Deccan Chargers,Deccan Chargers,Deccan Chargers
501265,68,Delhi Daredevils,Unknown,Unknown,Delhi Daredevils,Delhi Daredevils
501266,69,Chennai Super Kings,CH Gayle,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings
501267,70,Kolkata Knight Riders,JEC Franklin,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
501268,Unknown,Royal Challengers Bangalore,SK Raina,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
501269,Unknown,Kolkata Knight Riders,MM Patel,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders
501270,Unknown,Royal Challengers Bangalore,CH Gayle,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
501271,Unknown,Chennai Super Kings,M Vijay,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548306,1,Chennai Super Kings,RE Levi,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
548307,2,Kolkata Knight Riders,IK Pathan,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders
548308,3,Pune Warriors,SPD Smith,Pune Warriors,Pune Warriors,Pune Warriors
548309,4,Rajasthan Royals,AM Rahane,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
548310,5,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
548311,6,Chennai Super Kings,RA Jadeja,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548312,7,Rajasthan Royals,BJ Hodge,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
548313,8,Pune Warriors,MN Samuels,Pune Warriors,Pune Warriors,Pune Warriors
548314,9,Deccan Chargers,RG Sharma,Mumbai Indians,Deccan Chargers,Deccan Chargers
548315,10,Kolkata Knight Riders,L Balaji,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548316,11,Chennai Super Kings,M Morkel,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
548317,12,Mumbai Indians,KA Pollard,Mumbai Indians,Mumbai Indians,Mumbai Indians
548318,13,Royal Challengers Bangalore,F du Plessis,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore
548319,14,Pune Warriors,AD Mascarenhas,Kings XI Punjab,Pune Warriors,Pune Warriors
548320,15,Rajasthan Royals,Shakib Al Hasan,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals
548322,16,Chennai Super Kings,JD Ryder,Pune Warriors,Chennai Super Kings,Chennai Super Kings
548323,17,Kings XI Punjab,SP Narine,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
548324,18,Rajasthan Royals,AM Rahane,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
548325,19,Mumbai Indians,S Nadeem,Delhi Daredevils,Mumbai Indians,Mumbai Indians
548326,20,Deccan Chargers,BJ Hodge,Rajasthan Royals,Deccan Chargers,Deccan Chargers
548327,21,Pune Warriors,CH Gayle,Royal Challengers Bangalore,Pune Warriors,Pune Warriors
548328,22,Kings XI Punjab,G Gambhir,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab
548321,23,Deccan Chargers,KP Pietersen,Delhi Daredevils,Deccan Chargers,Deccan Chargers
548330,24,Chennai Super Kings,KMDN Kulasekara,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548331,25,Kings XI Punjab,CH Gayle,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
548332,26,Rajasthan Royals,F du Plessis,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
548333,27,Pune Warriors,SC Ganguly,Pune Warriors,Pune Warriors,Pune Warriors
548334,28,Mumbai Indians,SE Marsh,Kings XI Punjab,Mumbai Indians,Mumbai Indians
548335,29,Deccan Chargers,B Lee,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers
548336,30,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore
548337,31,Pune Warriors,V Sehwag,Delhi Daredevils,Pune Warriors,Pune Warriors
548339,33,Kings XI Punjab,AT Rayudu,Mumbai Indians,Kings XI Punjab,Kings XI Punjab
548341,35,Deccan Chargers,CL White,Deccan Chargers,Deccan Chargers,Deccan Chargers
548342,36,Delhi Daredevils,V Sehwag,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
548343,37,Kings XI Punjab,Mandeep Singh,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab
548344,38,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548345,39,Delhi Daredevils,V Sehwag,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils
548346,40,Deccan Chargers,DW Steyn,Mumbai Indians,Deccan Chargers,Deccan Chargers
548347,41,Chennai Super Kings,G Gambhir,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
548348,42,Deccan Chargers,KC Sangakkara,Deccan Chargers,Deccan Chargers,Deccan Chargers
548349,43,Rajasthan Royals,P Negi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals
548350,44,Royal Challengers Bangalore,Azhar Mahmood,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
548351,45,Mumbai Indians,SL Malinga,Mumbai Indians,Mumbai Indians,Mumbai Indians
548352,46,Chennai Super Kings,SK Raina,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings
548353,47,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders
548354,48,Rajasthan Royals,SR Watson,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals
548355,49,Chennai Super Kings,DR Smith,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
548356,50,Deccan Chargers,AB de Villiers,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
